id,year_fosm,year_openalex
10.4324/9781315554990-5,2021,2020
10.7202/1078167ar,2020,2021
10.1109/tps.2015.2420511,2015,2014
10.1116/1.4937908,2016,2015
10.1063/1.4933338,2016,2015
10.1111/ejn.14300,2019,2018
10.1212/wnl.0000000000011152,2020,2021
10.1038/nature14048,2014,2015
10.7202/1060839ar,2018,2019
10.7202/1063711ar,2016,2019
10.5005/jp-journals-10018-1094,2014,2013
10.1002/9781118696880.ch4.3,2017,2014
10.1111/ases.12726,2020,2019
10.1002/ird.2222,2020,2018
10.1063/1.4829736,2014,2013
10.7202/1074105ar,2019,2020
10.1038/modpathol.2015.122,2016,2015
10.3917/jgem.147.0463,2014,2015
10.1111/let.12309,2018,2019
10.1063/1.4973436,2017,2016
10.7202/1067807ar,2019,2020
10.1007/978-3-319-09351-2_11,2015,2014
10.1063/5.0025623,2021,2020
10.1002/9781118308295.ch24,2015,2014
10.1007/978-3-319-47301-7_1,2016,2017
10.1017/ahss.2020.127,2020,2021
10.7202/1075479ar,2020,2021
10.7202/1077681ar,2020,2021
10.7202/1075476ar,2020,2021
10.7202/1081289ar,2020,2021
10.7202/1074899ar,2020,2021
10.7202/1083289ar,2021,2020
10.7202/1075480ar,2020,2021
10.7202/1077345ar,2020,2021
10.7202/1077439ar,2020,2021
10.7202/1075488ar,2020,2021
10.7202/1074951ar,2020,2021
10.1142/s2382626620500033,2020,2019
10.3166/pson-2021-0142,2021,2020
10.7202/1077349ar,2020,2021
10.15672/hujms.740872,2020,2021
10.7202/1077684ar,2020,2021
10.7202/1061775ar,2018,2019
10.1038/mi.2016.77,2017,2016
10.1558/bsrv.40419,2019,2020
10.2196/25648,2020,2021
10.7202/1077346ar,2020,2021
10.7202/1075481ar,2020,2021
10.7202/1075484ar,2020,2021
10.7202/1077432ar,2020,2021
10.7202/1075478ar,2020,2021
10.7202/1077351ar,2020,2021
10.7202/1075486ar,2020,2021
10.7202/1077433ar,2020,2021
10.7202/1077434ar,2020,2021
10.7202/1074902ar,2020,2021
10.7202/1077347ar,2020,2021
10.7202/1075485ar,2020,2021
10.7202/1067736ar,2020,2019
10.7202/1075682ar,2020,2021
10.7202/1077437ar,2020,2021
10.1039/d0an01483d,2021,2020
10.7202/1077436ar,2020,2021
10.7202/1077350ar,2020,2021
10.1116/1.4999539,2018,2017
10.4049/jimmunol.1800840,2019,2018
10.1063/1.4936880,2016,2015
10.1111/jdv.16102,2020,2019
10.1002/9781119421344.ch24,2017,2016
10.1002/9781119040293.ch9,2015,2014
10.3945/ajcn.114.088948,2015,2014
10.1212/wnl.0000000000011374,2020,2021
10.7202/1060838ar,2018,2019
10.1681/asn.2014101051,2016,2015
10.1038/s41379-019-0322-9,2020,2019
10.1177/1756283x16670074,2016,2017
10.4000/lexis.3829,2018,2019
10.7202/1062114ar,2018,2019
10.1002/ca.23443,2020,2019
10.7202/1073188ar,2019,2020
10.1063/1.4824746,2014,2013
10.1002/pbc.26195,2016,2017
10.7202/1061784ar,2018,2019
10.1116/1.4901511,2015,2014
10.1016/j.materresbull.2016.11.030,2017,2016
10.1109/jestpe.2020.3037016,2020,2021
10.1063/1.4830361,2014,2013
10.1038/mi.2017.97,2018,2017
10.1111/coin.12254,2020,2019
10.1002/pbc.27556,2018,2019
10.7202/1039614ar,2017,2015
10.3917/sim.133.0005,2013,2014
10.7202/1063710ar,2016,2019
10.7202/1050495ar,2017,2018
10.1111/jvp.12834,2020,2019
10.1002/prep.201900290,2020,2019
10.1515/anona-2016-0113,2016,2017
10.1116/1.4901451,2015,2014
10.1116/1.4904025,2015,2014
10.1681/asn.2014101035,2016,2015
10.1109/les.2020.3040819,2020,2021
10.1128/aac.01790-12,2013,2014
10.1111/joss.12555,2020,2019
10.1002/ijfe.1748,2020,2019
10.1017/jfm.2018.66,2018,2017
10.7202/1059590ar,2018,2019
10.1116/1.4971389,2017,2016
10.1007/s11873-014-0249-8,2014,2015
10.3851/imp3076,2016,2017
10.1002/9781119068761.app1,2017,2016
10.12660/rda.v270.2015.58736,2016,2015
10.1097/ftd.0000000000000813,2020,2021
10.1007/s00216-019-02312-0,2019,2020
10.1063/1.4936925,2016,2015
10.1111/josl.12365,2020,2019
10.3917/reco.721.0043,2020,2021
10.1063/1.4994015,2018,2017
10.1128/jvi.02430-14,2014,2015
10.1038/nrgastro.2014.188,2014,2015
10.1063/1.4827678,2014,2013
10.1116/1.4843515,2014,2013
10.1002/9781119068761.ch8,2017,2016
10.1111/sjpe.12231,2020,2019
10.1007/s00466-013-0933-9,2013,2014
10.1038/modpathol.2017.156,2018,2017
10.7202/1060890ar,2018,2019
10.1109/tcsvt.2020.3046881,2020,2021
10.1002/9781119068761.ch6,2017,2016
10.1063/1.4935989,2016,2015
10.1177/2045893217753352,2017,2018
10.4049/jimmunol.1401786,2015,2014
10.1093/jn/nxz279,2020,2019
10.1097/ftd.0000000000000824,2020,2021
10.1116/1.4902019,2015,2014
10.1212/wnl.0000000000011150,2020,2021
10.1007/s10404-013-1296-4,2013,2014
10.3917/res.182.0119,2013,2014
10.1007/s10683-017-9524-5,2017,2018
10.1063/1.5006471,2018,2017
10.25120/etropic.14.2.2015.3389,2016,2015
10.1007/978-1-4614-8757-9,2021,2020
10.1159/000356401,2014,2013
10.1212/wnl.0000000000011372,2020,2021
10.1063/1.5053729,2019,2018
10.1016/j.neurad.2019.03.016,2019,2021
10.1681/asn.2013101144,2015,2014
10.1111/nyas.14252,2020,2019
10.1111/ggi.12805,2016,2017
10.3917/parti.016.0019,2017,2016
10.1158/1055-9965.epi-15-0753,2015,2016
10.3917/resg.117.0087,2016,2017
10.1002/fld.3836,2013,2014
10.1116/1.4936886,2016,2015
10.1116/1.4936885,2016,2015
10.1111/sed.12574,2020,2019
10.1002/9781119068761.ch7,2017,2016
10.7202/1070437ar,2017,2020
10.1116/1.4972515,2017,2016
10.1080/08897077.2015.1036334,2015,2016
10.1016/j.asr.2020.09.041,2020,2021
10.1515/secm-2015-0081,2017,2015
10.1063/1.5006302,2018,2017
10.1002/ange.201812057,2018,2019
10.1063/1.4932393,2016,2015
10.1097/iae.0000000000002993,2020,2021
10.1177/1758834015617355,2015,2016
10.7202/1060840ar,2018,2019
10.1002/9781119068761.ch16,2017,2016
10.1002/9781119040293.ch12,2015,2014
10.1515/anona-2016-0102,2016,2018
10.7202/1066829ar,2020,2019
10.7202/1050485ar,2017,2018
10.1038/modpathol.2013.80,2014,2013
10.1063/1.4932615,2016,2015
10.1063/1.4935309,2016,2015
10.1007/s10440-014-9945-5,2014,2015
10.1681/asn.2014121217,2016,2015
10.1007/s00165-014-0323-x,2014,2015
10.1063/1.5004630,2018,2017
10.1111/jpet.12406,2020,2019
10.1063/1.4993706,2018,2017
10.1002/app.48710,2020,2019
10.1063/1.4966583,2017,2016
10.1890/15-0693.1,2015,2016
10.1002/ird.2054,2020,2016
10.1097/mej.0000000000000462,2017,2018
10.1063/1.4935215,2016,2015
10.1111/cod.13442,2020,2019
10.1111/tme.12652,2020,2019
10.1002/lary.28062,2020,2019
10.1515/acv-2015-0008,2016,2017
10.1063/1.5006268,2018,2017
10.1002/glia.23770,2020,2019
10.1063/1.4828366,2014,2013
10.1002/9781118696880.ch3.5,2017,2014
10.7202/1063707ar,2016,2019
10.1063/1.4935007,2016,2015
10.7202/1038863ar,2016,2017
10.1002/9781119068761.ch13,2017,2016
10.7202/1062496ar,2018,2019
10.7202/1070313ar,2019,2020
10.1111/pala.12457,2020,2019
10.1515/cclm-2019-0914,2019,2020
10.1063/1.4933342,2016,2015
10.1016/j.neucli.2013.10.045,2014,2013
10.1038/s41385-019-0221-x,2020,2019
10.1002/9781118696880.ch4.2,2017,2014
10.1111/ajt.14565,2018,2017
10.1002/hep.30811,2019,2020
10.1063/1.4993688,2018,2017
10.1063/1.4996987,2018,2017
10.1542/peds.2015-1414,2015,2016
10.1111/jpet.12367,2020,2019
10.1519/jsc.0000000000003212,2019,2021
10.4049/jimmunol.1501780,2016,2015
10.1681/asn.2013121277,2015,2014
10.1002/lrh2.10206,2020,2019
10.1016/j.clinre.2020.05.005,2020,2021
10.1038/mi.2015.62,2016,2015
10.1681/asn.2014040414,2015,2014
10.2215/cjn.01760215,2016,2015
10.7202/1062493ar,2018,2019
10.1038/modpathol.2013.112,2014,2013
10.1159/000356390,2014,2013
10.7202/1061785ar,2018,2019
10.1111/jth.13912,2018,2017
10.1002/9781119068761.ch34,2017,2016
10.1128/jcm.02444-14,2014,2015
10.1063/1.4994252,2018,2017
10.1116/1.4902014,2015,2014
10.1002/ange.201812375,2018,2019
10.7202/1062498ar,2018,2019
10.1002/9781118941829.ch4,2018,2017
